id,customer_id,product_id,date,quantity,unit_price,total_amount
1,735,163,2025-04-09,3,108.71,326.13
2,80,100,2024-11-01,1,492.72,492.72
3,792,137,2024-11-21,1,49.94,49.94
4,883,125,2024-10-08,1,71.66,71.66
5,668,93,2024-10-04,3,419.64,1258.91
6,34,193,2025-02-05,2,876.93,1753.85
7,323,174,2024-11-17,1,699.86,699.86
8,182,30,2024-11-23,2,399.27,798.54
9,162,136,2024-09-06,4,147.16,588.64
10,614,182,2024-10-28,2,17.59,35.18
11,358,5,2024-10-02,1,595.15,595.15
12,526,134,2025-09-05,3,348.87,1046.61
13,248,127,2024-10-05,3,510.16,1530.49
14,543,51,2024-11-29,1,183.91,183.91
15,147,137,2025-03-06,4,54.67,218.7
16,177,147,2024-10-27,5,604.14,3020.72
17,19,137,2024-09-19,3,49.56,148.68
18,516,82,2025-03-09,1,653.52,653.52
19,915,172,2024-09-09,1,293.55,293.55
20,854,59,2024-09-11,2,150.45,300.9
21,763,42,2025-03-16,2,248.58,497.16
22,610,158,2024-09-08,3,190.88,572.65
23,700,91,2024-12-15,4,38.35,153.4
24,46,35,2025-01-31,3,15.27,45.81
25,365,166,2025-03-24,4,129.64,518.57
26,896,1,2025-06-25,3,439.38,1318.13
27,866,98,2024-09-17,1,29.51,29.51
28,434,166,2024-09-05,3,131.54,394.63
29,51,153,2024-11-17,2,13.63,27.27
30,632,97,2024-09-18,1,1350.7,1350.7
31,916,65,2025-01-30,4,222.77,891.1
32,670,37,2025-06-24,1,1132.7,1132.7
33,516,129,2024-12-09,3,172.05,516.15
34,738,67,2024-10-10,5,96.14,480.71
35,568,49,2025-02-11,3,20.88,62.64
36,787,33,2025-07-12,2,1458.42,2916.84
37,177,77,2025-06-19,1,277.11,277.11
38,714,97,2024-09-14,1,1441.35,1441.35
39,539,33,2024-11-12,1,1422.0,1422.0
40,677,53,2024-12-10,1,30.03,30.03
41,640,182,2024-09-24,3,16.47,49.41
42,644,80,2024-09-27,1,380.06,380.06
43,511,44,2024-12-08,3,161.61,484.83
44,483,21,2024-10-01,2,8.32,16.63
45,969,106,2025-02-14,2,238.99,477.99
46,758,64,2025-02-06,1,82.55,82.55
47,582,65,2025-03-04,2,222.68,445.36
48,595,50,2024-10-24,3,20.62,61.86
49,500,124,2024-10-12,1,32.09,32.09
50,973,51,2024-10-08,1,168.62,168.62
51,23,169,2024-10-07,3,188.13,564.4
52,605,175,2025-01-04,2,69.3,138.6
53,282,58,2024-09-15,1,161.7,161.7
54,647,89,2025-04-25,2,578.24,1156.47
55,630,171,2024-11-21,1,371.76,371.76
56,102,28,2024-09-13,2,96.14,192.27
57,193,106,2024-10-18,1,279.46,279.46
58,22,9,2024-11-30,2,203.31,406.63
59,943,98,2024-09-18,3,29.67,89.0
60,802,101,2024-09-08,2,472.9,945.81
61,703,66,2025-01-20,3,1849.29,5547.86
62,822,28,2024-12-01,2,87.05,174.09
63,503,149,2024-11-25,1,97.26,97.26
64,509,11,2024-12-15,2,17.17,34.35
65,405,200,2024-09-09,2,225.07,450.14
66,457,40,2025-06-15,1,426.89,426.89
67,889,91,2024-09-13,1,44.37,44.37
68,977,18,2024-11-22,2,163.67,327.34
69,433,47,2024-12-07,2,1132.77,2265.55
70,695,116,2024-09-25,1,796.82,796.82
71,731,165,2024-11-16,3,934.59,2803.76
72,14,133,2024-09-18,1,9.9,9.9
73,39,21,2025-06-22,2,8.17,16.34
74,918,123,2024-11-11,1,210.12,210.12
75,96,12,2024-09-15,1,524.06,524.06
76,273,37,2024-09-15,2,1192.66,2385.33
77,355,94,2024-11-22,1,1083.81,1083.81
78,2,58,2025-04-05,1,154.87,154.87
79,264,176,2025-02-26,1,733.9,733.9
80,361,64,2024-09-25,1,86.41,86.41
81,719,131,2024-09-09,3,78.31,234.94
82,504,123,2025-04-23,3,244.49,733.46
83,108,16,2024-09-16,2,193.03,386.07
84,827,125,2024-12-02,3,73.89,221.68
85,49,133,2025-06-26,1,10.88,10.88
86,889,89,2024-12-13,1,551.0,551.0
87,670,59,2024-09-27,3,151.69,455.08
88,688,178,2025-02-05,1,83.24,83.24
89,167,116,2024-09-07,1,825.62,825.62
90,855,171,2025-02-09,2,407.03,814.06
91,107,4,2025-03-20,1,251.59,251.59
92,394,60,2025-09-05,1,620.27,620.27
93,378,192,2024-11-25,1,13.94,13.94
94,553,152,2024-11-20,4,83.2,332.81
95,498,36,2024-09-21,1,165.25,165.25
96,961,47,2024-09-06,2,1203.53,2407.06
97,999,2,2024-09-25,1,79.47,79.47
98,83,21,2024-10-06,1,8.15,8.15
99,933,190,2024-12-16,3,1066.47,3199.4
100,805,185,2024-09-05,1,726.29,726.29
101,207,1,2024-10-11,1,427.07,427.07
102,65,38,2024-11-18,2,313.81,627.62
103,753,147,2024-10-19,1,549.87,549.87
104,593,107,2024-11-12,1,508.73,508.73
105,653,36,2025-02-13,1,142.19,142.19
106,580,168,2024-12-26,4,675.54,2702.16
107,214,174,2024-10-05,2,734.05,1468.1
108,557,17,2024-12-27,1,682.58,682.58
109,160,198,2024-09-06,3,1452.91,4358.73
110,772,138,2024-12-03,1,8.44,8.44
111,733,182,2025-01-11,1,18.49,18.49
112,900,123,2024-12-23,2,233.09,466.17
113,975,157,2025-02-28,1,22.6,22.6
114,693,194,2024-12-07,1,296.58,296.58
115,710,25,2024-10-20,1,16.01,16.01
116,531,178,2025-03-12,1,77.93,77.93
117,813,39,2025-01-09,1,824.43,824.43
118,199,41,2024-10-01,3,161.12,483.37
119,503,12,2024-09-24,1,562.52,562.52
120,352,184,2025-02-28,3,64.5,193.49
121,932,76,2024-11-12,1,36.53,36.53
122,283,141,2024-10-18,3,162.49,487.47
123,777,146,2024-11-17,1,328.45,328.45
124,508,120,2024-11-24,1,254.43,254.43
125,360,196,2024-12-02,1,29.59,29.59
126,629,166,2024-12-03,1,145.11,145.11
127,851,70,2025-09-05,1,224.25,224.25
128,147,18,2024-10-20,5,144.09,720.46
129,901,117,2024-09-22,2,99.06,198.13
130,585,177,2024-11-02,2,377.81,755.61
131,102,180,2024-10-08,3,510.18,1530.55
132,211,181,2024-09-27,2,1153.43,2306.86
133,970,68,2024-11-16,2,27.76,55.52
134,964,164,2025-05-28,3,636.16,1908.48
135,699,167,2024-12-08,1,163.48,163.48
136,104,20,2024-12-25,1,89.96,89.96
137,230,128,2024-10-15,1,1345.75,1345.75
138,926,119,2025-09-05,1,1236.58,1236.58
139,506,149,2025-03-27,2,99.73,199.46
140,255,190,2025-04-14,3,1063.85,3191.54
141,231,102,2025-01-08,1,643.71,643.71
142,572,82,2024-12-30,3,646.43,1939.29
143,190,101,2024-09-18,2,445.88,891.76
144,341,143,2024-10-13,1,1251.76,1251.76
145,728,108,2024-10-13,1,336.93,336.93
146,530,135,2024-10-11,1,1533.2,1533.2
147,603,23,2024-09-25,1,1195.25,1195.25
148,850,77,2024-11-02,1,259.28,259.28
149,507,159,2025-09-05,1,30.94,30.94
150,680,29,2024-09-14,1,44.15,44.15
151,319,62,2025-07-01,1,166.4,166.4
152,157,30,2024-09-25,3,362.95,1088.86
153,898,159,2024-10-21,1,26.01,26.01
154,723,97,2024-09-20,1,1345.47,1345.47
155,444,185,2025-02-28,3,627.39,1882.16
156,563,138,2025-03-12,2,7.65,15.29
157,328,99,2024-09-09,1,145.15,145.15
158,56,4,2025-01-17,2,271.84,543.68
159,90,101,2025-04-21,1,482.9,482.9
160,772,192,2024-12-24,1,14.49,14.49
161,588,54,2024-09-27,1,455.67,455.67
162,86,25,2024-11-02,1,19.05,19.05
163,639,74,2024-10-03,1,8.32,8.32
164,186,112,2024-10-04,1,528.26,528.26
165,818,105,2024-09-18,1,178.2,178.2
166,722,127,2025-01-10,4,512.73,2050.94
167,700,33,2025-01-10,1,1630.64,1630.64
168,471,68,2024-12-17,1,28.56,28.56
169,413,17,2024-10-23,5,678.93,3394.63
170,493,185,2024-09-07,2,763.36,1526.72
171,508,179,2024-12-05,1,148.01,148.01
172,69,31,2024-11-01,1,409.79,409.79
173,151,132,2024-11-19,2,1174.65,2349.31
174,833,84,2025-04-28,1,53.62,53.62
175,175,45,2024-09-16,3,11.22,33.65
176,348,102,2025-01-19,1,661.17,661.17
177,72,17,2024-11-12,1,592.79,592.79
178,233,137,2024-11-08,3,49.39,148.16
179,576,96,2024-09-18,3,163.25,489.75
180,693,70,2024-09-07,1,244.41,244.41
181,248,75,2025-04-05,1,630.46,630.46
182,256,157,2024-09-07,3,27.42,82.25
183,957,29,2025-01-11,3,48.62,145.87
184,997,167,2024-12-01,2,155.41,310.82
185,30,8,2025-09-05,2,130.62,261.23
186,590,125,2024-09-13,1,80.68,80.68
187,997,83,2024-10-08,1,406.66,406.66
188,86,72,2024-12-11,5,22.82,114.08
189,739,17,2024-09-17,3,612.62,1837.85
190,552,115,2024-12-10,5,211.71,1058.54
191,718,77,2024-12-04,1,259.44,259.44
192,521,16,2024-09-25,4,197.81,791.25
193,481,124,2025-02-04,1,32.13,32.13
194,370,125,2024-10-17,2,73.31,146.61
195,222,105,2024-09-16,1,209.93,209.93
196,724,59,2025-01-28,1,139.35,139.35
197,696,108,2025-04-04,1,341.65,341.65
198,880,111,2024-10-04,1,25.36,25.36
199,311,180,2024-11-11,2,570.4,1140.8
200,695,52,2024-09-09,1,758.46,758.46
201,989,152,2024-09-22,1,74.29,74.29
202,20,83,2024-09-27,3,411.31,1233.94
203,293,33,2024-09-05,2,1514.44,3028.89
204,107,185,2025-03-15,1,764.56,764.56
205,369,101,2024-09-14,1,472.89,472.89
206,585,139,2025-04-11,4,393.19,1572.75
207,150,122,2024-09-14,2,16.85,33.71
